i_node,j_node,location_desc
18606,244452,Victoria Bridge SE-side
18625,175691,Victoria Bridge NW-side
24624,24625,New Farm Riverwalk
24625,24624,New Farm Riverwalk
27419,27421,Walter Taylor Bridge
27421,27419,Walter Taylor Bridge
97903,173756,Eleanor Schonell Bridge (UQ Green Bridge)
101336,101337,Jindalee Bridge
101337,101336,Jindalee Bridge
111217,146127,William Jolly Bridge
111228,113557,Kurilpa Bridge
113557,111228,Kurilpa Bridge
143512,143527,Go Between Bridge NB
143527,143512,Go Between Bridge SB
144778,144779,Goodwill Bridge EB
144779,144778,Goodwill Bridge WB
146127,111217,William Jolly Bridge
156715,167479,Sir Leo Hielscher Bridge (Gateway Motorway)
167479,156715,Sir Leo Hielscher Bridge (Gateway Motorway)
173756,97903,Eleanor Schonell Bridge (UQ Green Bridge)
175691,18625,Victoria Bridge NW-side
229255,229257,Story Bridge Eastern-side
229257,229255,Story Bridge Eastern-side
229274,229275,Story Bridge Western-side
229275,229274,Story Bridge Western-side
244452,18606,Victoria Bridge SE-side
