origin_zone,dest_zone,location_desc
30401108104,30305107625,Jindalee Bridge
30401108114,30305107632,Jindalee Bridge
30401108114,30403109430,Jindalee Bridge
30401108114,30403109615,Jindalee Bridge
30401108114,30404110103,Jindalee Bridge
30401108117,30101100403,Jindalee Bridge
30401108117,30203103603,Jindalee Bridge
30401108117,30402109010,Jindalee Bridge
30401108117,30403109516,Jindalee Bridge
30401108117,30403109615,Jindalee Bridge
30401108205,30403109615,Jindalee Bridge
30401108303,30501110519,Jindalee Bridge
30401108304,30504113732,Jindalee Bridge
30401108402,30303106516,Jindalee Bridge
30401108402,30403109423,Jindalee Bridge
30401108402,30501110612,Jindalee Bridge
30401108409,30504113507,Jindalee Bridge
30401108411,30504113724,Jindalee Bridge
30401108412,30402108702,Jindalee Bridge
30401108412,30403109418,Jindalee Bridge
30401108412,30403109423,Jindalee Bridge
30401108412,30403109430,Jindalee Bridge
30401108412,30501111014,Jindalee Bridge
30401108412,30504113512,Jindalee Bridge
30401108505,30203103908,Jindalee Bridge
30401108505,30402109101,Jindalee Bridge
30401108505,30403109216,Jindalee Bridge
30401108505,30403109430,Jindalee Bridge
30401108505,30503113122,Jindalee Bridge
